Date,Sales,rolling_mean,rolling_std,log_sales,year,month,dayofweek
03-01-2015,16.448,,,2.859225029,2015,1,5
04-01-2015,288.06,,,5.666634279,2015,1,6
05-01-2015,19.536,,,3.022179444,2015,1,0
06-01-2015,4407.1,,,8.391199037,2015,1,1
07-01-2015,87.158,,,4.479130659,2015,1,2
09-01-2015,40.544,,,3.726753107,2015,1,4
10-01-2015,54.83,,,4.022311359,2015,1,5
11-01-2015,9.94,,,2.392425797,2015,1,6
13-01-2015,3553.795,,,8.176052675,2015,1,1
14-01-2015,61.96,,,4.142499604,2015,1,2
15-01-2015,149.95,,,5.016948656,2015,1,3
16-01-2015,299.964,,,5.706990656,2015,1,4
18-01-2015,64.864,,,4.18759201,2015,1,6
19-01-2015,378.594,,,5.93910226,2015,1,0
20-01-2015,2673.87,,,7.89165606,2015,1,1
23-01-2015,40.08,,,3.715521385,2015,1,4
26-01-2015,1097.25,,,7.001473283,2015,1,0
27-01-2015,426.67,,,6.05835187,2015,1,1
28-01-2015,3.928,,,1.594933226,2015,1,2
30-01-2015,240.5,,,5.486869473,2015,1,4
31-01-2015,290.666,,,5.675609312,2015,1,5
01-02-2015,468.9,,,6.152519906,2015,2,6
02-02-2015,211.646,,,5.359628811,2015,2,0
03-02-2015,97.112,,,4.586109683,2015,2,1
04-02-2015,134.384,,,4.908115185,2015,2,2
06-02-2015,330.512,,,5.803664008,2015,2,4
07-02-2015,180.32,,,5.200263426,2015,2,5
08-02-2015,14.56,,,2.744703519,2015,2,6
11-02-2015,2043.4,,,7.622859627,2015,2,2
12-02-2015,129.568,593.8703,1100.740709,4.871894164,2015,2,3
14-02-2015,576.726,612.5462333,1095.345746,6.359099708,2015,2,5
15-02-2015,21.36,603.6562333,1099.145839,3.107273648,2015,2,6
16-02-2015,9.04,603.3063667,1099.339834,2.306577114,2015,2,0
17-02-2015,54.208,458.2099667,835.6077305,4.01110787,2015,2,1
18-02-2015,37.784,456.5641667,836.4119854,3.65800779,2015,2,2
20-02-2015,95.59,458.3990333,835.5277878,4.570475216,2015,2,4
21-02-2015,8.85,456.8663667,836.3353917,2.287471455,2015,2,5
22-02-2015,19.44,457.1830333,836.1621147,3.017493765,2015,2,6
23-02-2015,11.364,339.102,600.7839821,2.514789024,2015,2,0
24-02-2015,55.672,338.8924,600.8850932,4.037280262,2015,2,1
27-02-2015,19.456,334.5426,602.7693767,3.018276238,2015,2,4
01-03-2015,2203.151,397.9821667,692.4808235,7.69809768,2015,3,6
02-03-2015,47.76,397.4120333,692.7715237,3.886910305,2015,3,0
03-03-2015,1345.892,429.6553,714.0489315,7.205554995,2015,3,1
04-03-2015,370.452,352.8747,574.6440582,5.91741965,2015,3,2
05-03-2015,705.562,375.0574333,574.9975596,6.560410955,2015,3,3
07-03-2015,1561.062,390.5178333,600.7442976,7.353762022,2015,3,5
10-03-2015,741.956,401.0273667,604.1467599,6.610636824,2015,3,1
11-03-2015,918.314,431.5069,606.4831753,6.82362774,2015,3,2
14-03-2015,2108.55,493.7752333,677.8898033,7.654229934,2015,3,5
15-03-2015,370.782,496.4457667,677.2195437,5.918307661,2015,3,6
16-03-2015,471.92,496.5464333,677.2155323,6.158926241,2015,3,0
17-03-2015,3960.358,621.5035,923.792776,8.284342175,2015,3,1
18-03-2015,28106.716,1555.156967,5098.20474,10.24379941,2015,3,2
19-03-2015,590.762,1570.369567,5094.498638,6.383104527,2015,3,3
21-03-2015,4109.816,1696.346367,5109.487495,8.321376828,2015,3,5
22-03-2015,464.093,1705.805467,5106.846114,6.142237386,2015,3,6
23-03-2015,945.064,1736.822267,5099.039784,6.85231022,2015,3,0
24-03-2015,65.38,1670.888267,5107.720003,4.195395806,2015,3,1
25-03-2015,459.146,1681.8742,5104.644051,6.13154383,2015,3,2
26-03-2015,145.13,1667.487667,5108.47287,4.984496636,2015,3,3
28-03-2015,1493.216,1716.549533,5099.177686,7.309356934,2015,3,5
29-03-2015,890.841,1745.9429,5091.531393,6.793287866,2015,3,6
30-03-2015,1170.322,1783.1467,5082.813891,7.065888304,2015,3,0
31-03-2015,1959.552,1847.205633,5072.157386,7.580981345,2015,3,1
01-04-2015,119.888,1848.015567,5071.869971,4.794864497,2015,4,2
02-04-2015,1458.558,1896.339167,5060.636383,7.285888929,2015,4,3
04-04-2015,475.844,1911.552633,5055.48282,6.167189393,2015,4,5
05-04-2015,5179.738,2083.831767,5076.515251,8.552702796,2015,4,6
06-04-2015,1650.69,2136.999033,5062.87564,7.409554285,2015,4,0
07-04-2015,1021.17,2170.3895,5051.719478,6.929683097,2015,4,1
08-04-2015,1958.75,2162.2428,5051.861889,7.580572193,2015,4,2
11-04-2015,1915.24,2224.492133,5036.390577,7.558120212,2015,4,5
12-04-2015,1872.443,2242.043833,5034.1401,7.535533193,2015,4,6
13-04-2015,638.576,2250.9813,5030.939744,6.460805457,2015,4,0
15-04-2015,294.72,2237.286567,5035.848378,5.689413061,2015,4,2
16-04-2015,39.072,2186.553567,5050.540941,3.690677836,2015,4,3
18-04-2015,1020.532,2195.839433,5048.048812,6.92905874,2015,4,5
19-04-2015,205.47,2172.077967,5055.941089,5.330155123,2015,4,6
20-04-2015,1250.45,2143.474633,5058.739404,7.132058158,2015,4,0
21-04-2015,845.36,2159.2939,5053.744399,6.740944801,2015,4,1
22-04-2015,257.752,2152.154967,5056.360771,5.555870074,2015,4,2
23-04-2015,362.608,2032.229967,5054.660407,5.896076364,2015,4,3
25-04-2015,2379.994,1174.672567,1161.42214,7.775273327,2015,4,5
26-04-2015,282.568,1164.399433,1168.108892,5.647451953,2015,4,6
28-04-2015,2578.476,1113.354767,1063.757818,7.855341557,2015,4,1
29-04-2015,768.844,1123.513133,1058.787388,6.646187897,2015,4,2
30-04-2015,1048.74,1126.969,1058.353958,6.956297793,2015,4,3
02-05-2015,506.12,1141.660333,1046.097627,6.228747662,2015,5,5
03-05-2015,72.632,1128.776533,1057.115514,4.299079714,2015,5,6
04-05-2015,187.432,1130.1866,1055.785579,5.238737199,2015,5,0
05-05-2015,260.977,1089.111967,1065.103746,5.568256714,2015,5,1
