Date,Sales,year,month,dayofweek,lag_1,lag_3,lag_7,lag_14,lag_30,rolling_mean_7,rolling_mean_14,rolling_mean_30,rolling_std_7,day,quarter,is_weekend,is_month_start,is_month_end
14-02-2015,576.726,2015,2,5,129.568,14.56,97.112,1097.25,16.448,418.5508571,404.9582857,593.8703,722.8915277,14,1,1,0,0
15-02-2015,21.36,2015,2,6,576.726,2043.4,134.384,426.67,288.06,487.0671429,367.778,612.5462333,709.9610355,15,1,1,0,0
16-02-2015,9.04,2015,2,0,21.36,129.568,330.512,3.928,19.536,470.9208571,338.8272857,603.6562333,720.5253705,16,1,0,0,0
17-02-2015,54.208,2015,2,1,9.04,576.726,180.32,240.5,4407.1,424.9962857,339.1924286,603.3063667,740.9224738,17,1,0,0,0
18-02-2015,37.784,2015,2,2,54.208,21.36,14.56,290.666,87.158,406.9802857,325.8858571,458.2099667,749.3488403,18,1,0,0,0
20-02-2015,95.59,2015,2,4,37.784,9.04,2043.4,468.9,40.544,410.298,307.8228571,456.5641667,747.3706436,20,1,0,0,0
21-02-2015,8.85,2015,2,5,95.59,54.208,129.568,211.646,54.83,132.0394286,281.1578571,458.3990333,200.5830784,21,1,1,0,0
22-02-2015,19.44,2015,2,6,8.85,37.784,576.726,97.112,9.94,114.794,266.6724286,456.8663667,205.9486674,22,1,1,0,0
23-02-2015,11.364,2015,2,0,19.44,95.59,21.36,134.384,3553.795,35.18171429,261.1244286,457.1830333,31.18098293,23,1,0,0,0
24-02-2015,55.672,2015,2,1,11.364,8.85,9.04,330.512,61.96,33.75371429,252.3372857,339.102,32.13381298,24,1,0,0,0
27-02-2015,19.456,2015,2,4,55.672,19.44,54.208,180.32,149.95,40.41542857,232.7058571,338.8924,30.96903328,27,1,0,0,0
01-03-2015,2203.151,2015,3,6,19.456,11.364,37.784,14.56,299.964,35.45085714,221.2155714,334.5426,31.17429488,1,1,1,1,0
02-03-2015,47.76,2015,3,0,2203.151,55.672,95.59,2043.4,64.864,344.789,377.5435,397.9821667,820.0527299,2,1,0,0,0
03-03-2015,1345.892,2015,3,1,47.76,19.456,8.85,129.568,378.594,337.9561429,234.9977857,397.4120333,822.6702609,3,1,0,0,0
04-03-2015,370.452,2015,3,2,1345.892,2203.151,19.44,576.726,2673.87,528.9621429,321.8780714,429.6553,886.2805184,4,1,0,0,0
05-03-2015,705.562,2015,3,3,370.452,47.76,11.364,21.36,40.08,579.1067143,307.1442143,352.8747,862.2519207,5,1,0,0,0
07-03-2015,1561.062,2015,3,5,705.562,1345.892,55.672,9.04,1097.25,678.2778571,356.0157857,375.0574333,825.1954303,7,1,1,0,0
10-03-2015,741.956,2015,3,1,1561.062,370.452,19.456,54.208,426.67,893.3335714,466.8745,390.5178333,832.0268482,10,1,0,0,0
11-03-2015,918.314,2015,3,2,741.956,705.562,2203.151,37.784,3.928,996.5478571,515.9993571,401.0273667,745.9102822,11,1,0,0,0
14-03-2015,2108.55,2015,3,5,918.314,1561.062,47.76,95.59,240.5,812.9997143,578.8943571,431.5069,524.8321703,14,1,1,0,0
15-03-2015,370.782,2015,3,6,2108.55,741.956,1345.892,8.85,290.666,1107.398286,722.6772143,493.7752333,597.056381,15,1,1,0,0
16-03-2015,471.92,2015,3,0,370.782,918.314,370.452,19.44,468.9,968.0968571,748.5295,496.4457667,644.0429614,16,1,0,0,0
17-03-2015,3960.358,2015,3,1,471.92,2108.55,705.562,11.364,211.646,982.5922857,780.8495,496.5464333,629.3236175,17,1,0,0,0
18-03-2015,28106.716,2015,3,2,3960.358,370.782,1561.062,55.672,97.112,1447.563143,1062.9205,621.5035,1268.414159,18,1,0,0,0
19-03-2015,590.762,2015,3,3,28106.716,471.92,741.956,19.456,134.384,5239.799429,3066.5665,1555.156967,10162.70472,19,1,0,0,0
21-03-2015,4109.816,2015,3,5,590.762,3960.358,918.314,2203.151,330.512,5218.200286,3107.374071,1570.369567,10174.01176,21,1,1,0,0
22-03-2015,464.093,2015,3,6,4109.816,28106.716,2108.55,47.76,180.32,5674.129143,3243.564429,1696.346367,10019.5433,22,1,1,0,0
23-03-2015,945.064,2015,3,0,464.093,590.762,370.782,1345.892,14.56,5439.206714,3273.3025,1705.805467,10135.68193,23,1,0,0,0
24-03-2015,65.38,2015,3,1,945.064,4109.816,471.92,370.452,2043.4,5521.247,3244.671929,1736.822267,10090.041,24,1,0,0,0
25-03-2015,459.146,2015,3,2,65.38,464.093,3960.358,705.562,129.568,5463.169857,3222.881071,1670.888267,10125.0575,25,1,0,0,0
26-03-2015,145.13,2015,3,3,459.146,945.064,28106.716,1561.062,576.726,4962.996714,3205.279929,1681.8742,10296.69312,26,1,0,0,0
28-03-2015,1493.216,2015,3,5,145.13,65.38,590.762,741.956,21.36,968.4844286,3104.141929,1667.487667,1415.305224,28,1,1,0,0
